type,sensor,value,timestamp
"watt","meanPerHour",214,1406289626
"watt","meanPerHour",365,1406293365
"watt","meanPerHour",216,1406296815
"watt","meanPerHour",253,1406300415
"watt","meanPerHour",243,1406304093
"watt","meanPerHour",272,1406307603
"watt","meanPerHour",1301,1406311204
"watt","meanPerHour",229,1406314825
"watt","meanPerHour",239,1406318456
"watt","meanPerHour",1051,1406322017
"watt","meanPerHour",2338,1406325704
"watt","meanPerHour",1791,1406329305
"watt","meanPerHour",174,1406332830
"watt","meanPerHour",168,1406336428
"watt","meanPerHour",166,1406340013
"watt","meanPerHour",161,1406343670
"watt","meanPerHour",167,1406347212
"watt","meanPerHour",175,1406350871
"watt","meanPerHour",231,1406354434
"watt","meanPerHour",388,1406358101
"watt","meanPerHour",363,1406361670
"watt","meanPerHour",1150,1406365226
"watt","meanPerHour",177,1406368846
